T&D :- 11/02/2023 09:08:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 2 | 10500.99
T&D :- 11/02/2023 09:09:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 3 | 10509.45
T&D :- 11/02/2023 09:10:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 4 | 10504.45
T&D :- 11/02/2023 09:11:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 5 | 10512.91
T&D :- 11/02/2023 09:12:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 6 | 10507.91
T&D :- 11/02/2023 09:13:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 7 | 10516.37
T&D :- 11/02/2023 09:14:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 8 | 10511.37
T&D :- 11/02/2023 09:15:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 9 | 10519.83
T&D :- 11/02/2023 09:16:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 10 | 10511.72
T&D :- 11/02/2023 09:17:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 11 | 10515.64
T&D :- 11/02/2023 09:18:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 12 | 10510.64
T&D :- 11/02/2023 09:19:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 13 | 10519.1
T&D :- 11/02/2023 09:20:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 14 | 10514.1
T&D :- 11/02/2023 09:21:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 15 | 10522.56
T&D :- 11/02/2023 09:22:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 16 | 10517.56
T&D :- 11/02/2023 09:23:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 17 | 10505.56
T&D :- 11/02/2023 09:24:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 18 | 10475.56
T&D :- 11/02/2023 09:25:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 19 | 10531.32
T&D :- 11/02/2023 09:26:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 20 | 10526.32
T&D :- 11/02/2023 09:27:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 21 | 10534.78
T&D :- 11/02/2023 09:28:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 22 | 10526.68
T&D :- 11/02/2023 09:29:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 23 | 10530.6
